iter	RMSE
0	0.3705620352
1	0.3466403563
2	0.325832191
3	0.3091959555
4	0.2936685874
5	0.2779087943
6	0.2645474935
7	0.2514185035
8	0.2401404164
9	0.2288806521
10	0.2191497464
11	0.2107582599
12	0.2040196924
13	0.1964701532
14	0.1901071893
15	0.1834891874
16	0.1783415459
17	0.1738518249
18	0.1696132854
19	0.1653787348
20	0.1615234046
21	0.1582551491
22	0.1550339199
23	0.1521495766
24	0.1492099634
25	0.146782143
26	0.1444518514
27	0.1426759821
28	0.1405805649
29	0.1385522919
30	0.1368829335
31	0.1350575335
32	0.1336227138
33	0.1322566355
34	0.1308664397
35	0.1294856452
36	0.1281895452
37	0.1271331244
38	0.1259613025
39	0.1244855812
40	0.1236807514
41	0.1226111354
42	0.1219039873
43	0.1209151459
44	0.120219172
45	0.1194375598
46	0.1186425663
47	0.1178337618
48	0.1170129194
49	0.1159500685
50	0.1153778034
51	0.1144830318
52	0.1136706736
53	0.1130488835
54	0.112139219
55	0.1114821595
56	0.1108195511
57	0.1103743284
58	0.109870288
59	0.109400315
60	0.1086326873
61	0.1080365293
62	0.1075020817
63	0.1069824121
64	0.1065554911
65	0.1059811975
66	0.105735678
67	0.1050690916
68	0.1044977651
69	0.1042343581
70	0.1037718688
71	0.1031987409
72	0.1027499644
73	0.1023586813
74	0.1018865145
75	0.1010603024
76	0.1006467786
77	0.1003737126
78	0.09988607074
79	0.09945293365
80	0.09933895235
81	0.09919540626
82	0.09858815586
83	0.09841732764
84	0.09773253383
85	0.09759148052
86	0.0971772299
87	0.09702787941
88	0.09664171081
89	0.0963053021
90	0.09581014295
91	0.09556002775
92	0.09530917928
93	0.09517600487
94	0.09506395657
95	0.0945425836
96	0.09409366229
97	0.09373579138
98	0.09320237037
99	0.09287820581
100	0.09236653629
101	0.09227338082
102	0.09180876123
103	0.09123232223
104	0.09071779303
105	0.09010665354
106	0.08975948683
107	0.08943227037
108	0.08906793467
109	0.08863655598
110	0.08853102981
111	0.08808015554
